pays;Lat;Long
Indonésie;-2.5187220000000003;118.01556799999997
Iran (République islamique d);32.4206525;53.68237500000001  
Iraq;33.223737;43.6859015
Irlande;53.4197505;-8.24047250000001
Islande;64.9639415;-19.021169499999985
Israël;31.418388;35.073541377209494
Italie;41.8739875;12.564166999999998
Jamaïque;18.115265;-77.27347950000001
Japon;34.886306;134.379711
Jordanie;31.276778;37.130583
Kazakhstan;48.193764;66.9022635
Kenya;0.1709454999999993;37.90396850000002
Kirghizistan;41.205528;74.779888
Kiribati;-3.358734;-170.32960500000002
Koweït;29.310278;47.493515
Lesotho;-29.620511;28.24741449999999
Lettonie;56.875583500000005;24.607721999999995
Liban;33.872639;35.876735499999995
Libéria;6.452424;-9.428598000000022
Lituanie;55.174111999999994;23.906735999999995
Luxembourg;49.8157635;6.1315139999999815
Macédoine du Nord;41.611;21.751417000000004
Madagascar;-18.777192499999998;46.85432800000001
Malaisie;4.1093195;109.45547499999999
Malawi;-13.2462705;34.29538550000001
Maldives;3.2028335;73.16524899999999
Mali;17.5797575;-3.998823000000016
Malte;35.944694263544;14.381007707828502
Maroc;31.792305849269;-7.080168000000015
Maurice;-15.422486;60.006448500000005
Mauritanie;21.00681;-10.947097499999984
Mexique;23.624812500000004;-102.57867049999999
Mongolie;46.8609445;103.83698649999997
Monténégro;42.7101515;19.41006950000002
Mozambique;-18.670284;35.530157
Myanmar;19.163916;96.68302949999998
Namibie;-22.965662000000002;18.4861655
Nicaragua;12.866726;-85.2142985
Niger;17.6110005;8.080946499999982
Nigéria;9.0845755;8.674252499999994
Norvège;64.58301349999999;17.86410976037601
Nouvelle-Zélande;-40.837847;173.35775 
Népal;28.395056;84.12780350000003
Oman;21.516861;55.859290999999985
Ouganda;1.3651884999999997;32.30465049999998
Ouzbékistan;41.3797225;64.5644585
Pakistan;30.441861000000003;69.35976599999998
Panama;8.41771;-80.11277749999999
Paraguay;-23.451389499999998;-58.453215
Pays-Bas;52.133057;5.29525000000001
Philippines;12.8819585;121.76654050000002
Pologne;51.9227505;19.136874499999976
Portugal;39.553444;-7.839318999999989
Pérou;-9.1813525;-75.002365
Roumanie;45.9471245;24.9805135  
Royaume-Uni de Grande-Bretagne et dIrlande du Nord;54.633221000000006;-3.432277499999998  
Rwanda;-1.9470800000000001;29.876375999999993
République centrafricaine;6.614041500000001;20.94175899999999 
République de Corée;35.9016955;127.73588949999998 
République de Moldova;46.979526500000006;28.3771945 
République dominicaine;18.736508999999998;-70.1617435 
République démocratique populaire lao;18.205208;103.89504249999999 
République populaire démocratique de Corée;40.339693;127.49537650000002 
République-Unie de Tanzanie;-6.368216;34.88519500000001 
Saint-Kitts-et-Nevis;17.364948;-62.783132 
Saint-Vincent-et-les Grenadines;12.9809094054845;-61.2873915886385 
Sainte-Lucie;13.9040115;-60.9741765 
Samoa;-13.736573;-172.10717 
Sao Tomé-et-Principe;0.8630444999999999;6.968272000000013 
Serbie;44.206802368164;20.91100883483898 
Sierra Leone;8.4648055;-11.795934499999987 
Slovaquie;48.6656395;19.709096999999986
Slovénie;46.1455285;14.974541499999987
Soudan;15.4584703445435;30.217636108398494
Sri Lanka;7.874096999999999;80.76709749999998 
Suisse;46.8155135;8.224471999999992
Suriname;3.9178455000000003;-56.032028
Suède;62.199805999999995;17.63749324195902
Sénégal;14.499454;-14.445561499999997
Tadjikistan;38.858194499999996;71.26218
Tchad;15.4457185;18.738068
Tchéquie;49.800900999999996;15.478152499999993
Thaïlande;13.036597;101.49251549999997
Timor-Leste;-8.799730300903349;125.67734527587999
Togo;8.619543;0.824782
Trinité-et-Tobago;10.6872235;-61.22085200000001
Tunisie;33.892166;9.561555499999997
Turkménistan;38.968319;59.562873499999995
Turquie;38.961515500000004;35.251750000000015
Ukraine;48.3798885;31.168139499999995
Uruguay;-32.53152;-55.75832750000001
Vanuatu;-16.6611945;168.214882
Venezuela (République bolivarienne du);6.4141070000000004;-66.5789265 
Viet Nam;15.9742225;105.80643099999998 
Yémen;15.5555449647735;48.53153912387552
Zambie;-13.1519165;27.852537499999983
Zimbabwe;-19.0132865;29.14666650000001
Égypte;26.696361500000002;30.246486000000004
Émirats arabes unis;24.3587446212765;53.98249435424799 
Équateur;-1.7799014999999998;-78.131592 
États-Unis dAmérique;36.966428;-95.844032  
Éthiopie;9.148086000000001;40.49305899999999 
Îles Salomon;-9.220082999999999;161.2447355
